# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
121 235 -1 56 1.0921 2 FAT
121 236 -1 48 1.0756 2 FAT
121 237 -1 41 1.0594 2 FAT
121 238 -1 39 1.0632 2 FAT
121 239 -1 258 1.1654 2 FAT
# row j=121 L=0.336111 n=240 KILL=0 CYCLE=190 FAT=50 CAP=0 certified=190 lambda[1.0365,1.1654]
122 0 -1 341 1.1901 2 FAT
122 1 -1 87 1.0931 2 FAT
122 2 -1 109 1.1046 2 FAT
122 3 -1 153 1.1419 2 FAT
122 4 -1 56 1.0921 2 FAT
122 5 -1 8 1.0000 1 CYCLE
122 6 -1 68 1.0925 2 FAT
122 7 -1 68 1.0925 2 FAT
122 8 -1 7 1.0000 1 CYCLE
122 9 -1 7 1.0000 1 CYCLE
122 10 -1 92 1.1145 2 FAT
122 11 -1 92 1.1145 2 FAT
122 12 -1 6 1.0000 1 CYCLE
122 13 -1 6 1.0000 1 CYCLE
122 14 -1 6 1.0000 1 CYCLE
122 15 -1 6 1.0000 1 CYCLE
122 16 -1 58 1.0878 2 FAT
122 17 -1 144 1.1332 2 FAT
122 18 -1 65 1.0936 2 FAT
122 19 -1 5 1.0000 1 CYCLE
122 20 -1 5 1.0000 1 CYCLE
122 21 -1 5 1.0000 1 CYCLE
122 22 -1 5 1.0000 1 CYCLE
122 23 -1 5 1.0000 1 CYCLE
122 24 -1 5 1.0000 1 CYCLE
122 25 -1 10 1.0000 1 CYCLE
122 26 -1 83 1.1074 2 FAT
122 27 -1 83 1.1074 2 FAT
122 28 -1 103 1.1207 2 FAT
122 29 -1 103 1.1207 2 FAT
122 30 -1 8 1.0000 1 CYCLE
122 31 -1 4 1.0000 1 CYCLE
122 32 -1 4 1.0000 1 CYCLE
122 33 -1 4 1.0000 1 CYCLE
122 34 -1 4 1.0000 1 CYCLE
122 35 -1 4 1.0000 1 CYCLE
122 36 -1 4 1.0000 1 CYCLE
122 37 -1 4 1.0000 1 CYCLE
122 38 -1 4 1.0000 1 CYCLE
